,id,city_id,record_date,humidity,temperature,pressure,sky,wind_speed,wind_dir,rain,user_mode
0,1,1832257,2017-09-25 23:53:00,90,286.86400000000003,970.32,Clouds,0.98,84.0021,0.0,3
1,2,1832501,2017-09-26 00:00:00,88,295.15,1013.0,Mist,1.5,50.0,0.0,3
2,3,1832743,2017-09-26 00:00:00,93,292.43,1014.0,Mist,1.5,60.0,0.0,3
3,4,1832909,2017-09-26 00:00:00,88,293.15,1015.0,Clear,2.1,260.0,0.0,1
4,5,1840886,2017-09-26 00:00:00,93,291.15,1014.0,Clear,1.5,60.0,0.0,3
5,6,1841976,2017-09-26 00:06:26,83,290.064,997.15,Clouds,1.23,113.50200000000001,0.0,2
6,7,1845519,2017-09-26 00:06:26,88,286.11400000000003,990.34,Clear,1.13,56.0021,0.0,1
7,8,1846095,2017-09-25 23:00:00,88,292.91,1014.0,Haze,1.5,80.0,0.0,3
8,9,1925943,2017-09-26 00:00:00,72,293.15,1014.0,Clear,2.6,150.0,0.0,1
9,10,1845106,2017-09-26 00:00:00,93,291.15,1014.0,Clear,1.5,60.0,0.0,2
10,11,6802827,2017-09-26 00:00:00,72,292.91,1014.0,Mist,1.5,40.0,0.0,3
11,12,1890085,2017-09-26 00:06:28,92,286.914,988.39,Clouds,1.08,57.0021,0.0,1
12,13,1833702,2017-09-26 00:06:28,86,288.064,1005.66,Clear,1.08,69.0021,0.0,1
13,14,6367618,2017-09-26 00:06:28,93,284.11400000000003,966.26,Clear,0.78,65.0021,0.0,1
14,15,6573030,2017-09-26 00:00:00,100,293.36,1014.0,Mist,2.1,90.0,0.0,3
15,16,1842936,2017-09-26 00:00:00,72,293.11,1014.0,Mist,1.5,40.0,0.0,2
16,17,6800892,2017-09-26 00:00:00,72,293.15,1014.0,Mist,1.5,40.0,0.0,2
17,18,6800397,2017-09-26 00:00:00,72,293.35,1014.0,Mist,1.5,40.0,0.0,3
18,19,1844533,2017-09-26 00:06:30,89,287.86400000000003,985.23,Clouds,0.78,63.5021,0.0,3
19,20,1832215,2017-09-26 00:00:00,72,293.15,1014.0,Clear,2.6,150.0,0.0,1
20,21,1832697,2017-09-26 00:00:00,72,293.15,1014.0,Clear,1.5,40.0,0.0,1
21,22,1832830,2017-09-25 23:00:00,82,292.8,1015.0,Clouds,1.0,160.0,0.0,2
22,23,1832847,2017-09-25 23:30:00,60,293.78,1014.0,Clear,4.1,50.0,0.0,1
23,24,1833466,2017-09-25 23:58:00,94,294.15,1013.0,Mist,2.1,80.0,0.0,1
24,25,1833514,2017-09-26 00:00:00,72,293.15,1014.0,Clear,2.6,150.0,0.0,1
25,26,1833788,2017-09-26 00:00:00,60,293.73,1013.0,Clear,4.6,50.0,0.0,2
26,27,1835096,2017-09-26 00:00:00,94,293.39,1014.0,Mist,5.43,132.502,0.0,1
27,28,1835224,2017-09-25 23:00:00,88,292.15,1014.0,Clear,1.5,80.0,0.0,2
28,29,1838722,2017-09-25 23:58:00,94,294.15,1013.0,Mist,2.1,80.0,0.0,1
29,30,1839726,2017-09-26 00:00:00,94,292.12,1014.0,Mist,2.98,108.50200000000001,0.0,1
30,31,1840862,2017-09-26 00:00:00,72,293.77,1014.0,Clear,1.5,40.0,0.0,1
31,32,1841810,2017-09-25 23:00:00,82,293.15,1015.0,Haze,1.0,160.0,0.0,1
32,33,1841988,2017-09-26 00:00:00,72,293.15,1014.0,Mist,1.5,40.0,0.0,1
33,34,1842016,2017-09-26 00:00:00,72,293.15,1014.0,Clear,2.6,150.0,0.0,3
34,35,1842153,2017-09-26 00:00:00,93,291.15,1014.0,Clouds,1.5,60.0,0.0,1
35,36,1842225,2017-09-26 00:00:00,72,293.15,1014.0,Clear,2.6,150.0,0.0,1
36,37,1842754,2017-09-26 00:00:00,78,295.15,1014.0,Clouds,2.6,30.0,0.0,2
37,38,1842944,2017-09-26 00:00:00,72,293.15,1014.0,Clear,2.6,150.0,0.0,3
38,39,1843082,2017-09-25 23:00:00,82,293.15,1015.0,Clouds,1.0,160.0,0.0,1
39,40,1843847,2017-09-25 23:30:00,60,293.53,1014.0,Haze,4.1,50.0,0.0,2
40,41,1844045,2017-09-26 00:05:38,93,284.11400000000003,966.26,Clear,0.78,65.0021,0.0,3
41,42,1844174,2017-09-25 23:58:00,94,292.6,1014.0,Mist,3.43,96.5021,0.0,3
42,43,1844191,2017-09-26 00:06:37,92,286.914,988.39,Clouds,1.08,57.0021,0.0,2
43,44,1846114,2017-09-26 00:06:37,84,290.764,1006.79,Clouds,1.63,106.50200000000001,0.0,1
44,45,1846355,2017-09-26 00:06:38,89,287.86400000000003,985.23,Clouds,0.78,63.5021,0.0,1
45,46,1886598,2017-09-25 23:58:00,94,294.15,1013.0,Mist,2.1,80.0,0.0,2
